ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,VOTES,POSITION
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,KRIPANATH MALLAH,M,SC,40,BJP,53975,1
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,AKHIL RANJAN TALUKDAR,M,SC,60,INC,29449,2
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,RAJIB BISWAS,M,SC,37,AIUDF,23926,3
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,SETUL CHANDRA NAMASUDRA,M,SC,66,IND,908,4
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,None of the Above,NULL,NULL,NULL,NOTA,889,5
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,NIRMAL MALLICK,M,SC,42,SP,542,6
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,PRABIR BARDHAN,M,SC,36,IND,487,7
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,SANJOY KUMAR MALLAH,M,SC,39,IND,419,8
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,KALIPADA BISWAS,M,SC,40,IND,380,9
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,MANILAL RABIDAS,M,SC,67,IND,370,10
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,SATYENDRA NAMASUDRA,M,SC,40,SUCI,354,11
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,NIRANJAN MALLAH,M,SC,58,IND,267,12
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,RANJU ROY,M,SC,51,IND,247,13
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,UMESH MALAH,M,SC,29,IND,204,14
S03,Assam,5,2016,Karimganj,1,Ratabari,SC,AMULYA NAMASUDRA,M,SC,56,IND,191,15
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,KRISHNENDU PAUL,M,GEN,42,BJP,46544,1
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,DEBENDRA KUMAR SINHA,M,GEN,62,AIUDF,37276,2
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,MONI LAL GOWALA,M,GEN,73,INC,32048,3
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,KRIPESH RANJAN DASGUPTA,M,GEN,65,CPM,1638,4
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,None of the Above,NULL,NULL,NULL,NOTA,1030,5
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,KABIR AHMED,M,GEN,34,IND,892,6
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,RAHIM UDDIN AHMED,M,GEN,46,IND,743,7
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,MISBAQUE UDDIN,M,GEN,42,SP,599,8
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,DEBANGSHU NATH,M,GEN,47,SUCI,509,9
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,ASAD UDDIN AHMED,M,GEN,34,IND,501,10
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,NITAI DEY,M,GEN,46,IND,495,11
S03,Assam,5,2016,Karimganj,2,Patharkandi,GEN,NIHAR RANJAN DEB NATH,M,GEN,44,IND,419,12
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,KAMALAKHYA DEY PURKAYASTHA,M,GEN,38,INC,45289,1
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,MISSION RANJAN DAS,M,GEN,54,BJP,44821,2
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,SAHABUL ISLAM CHOUDHURY,M,GEN,47,AIUDF,34207,3
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,NAZRUL ISLAM CHOUDHURY,M,GEN,55,IND,1704,4
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,ABDUL AHAD CHOUDHURY,M,GEN,40,IND,1052,5
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,MOIN UDDIN,M,GEN,44,IND,708,6
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,None of the Above,NULL,NULL,NULL,NOTA,674,7
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,ARUNANGSHU BHATTACHARJEE,M,GEN,57,SUCI,468,8
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,MUHAMMAD MUHSIN ALAM,M,GEN,29,IND,420,9
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,SIBIR AHMED,M,GEN,34,IND,265,10
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,BIKASH KANTI ROY,M,GEN,57,BGanP,253,11
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,DEEPAN NATH,M,GEN,35,IND,241,12
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,KAYSAR AHMED CHOUDHURY,M,GEN,35,IND,237,13
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,AMJAD HUSSAIN,M,GEN,47,IND,161,14
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,TAJ UDDIN CHOUDHURY,M,GEN,43,IND,144,15
S03,Assam,5,2016,Karimganj,3,Karimganj North,GEN,ARUN KUMAR DAS,M,GEN,64,IND,137,16
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,AZIZ AHMED KHAN,M,GEN,38,AIUDF,58060,1
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,SIDDEQUE AHMED,M,GEN,53,INC,53644,2
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,SIPRA GOON,F,GEN,47,BJP,11861,3
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,MONARUL HAQUE,M,GEN,28,IND,815,4
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,MOSUD AHMED,M,GEN,41,IND,592,5
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,AZIR UDDIN,M,GEN,43,IND,391,6
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,MOIN UDDIN,M,GEN,44,IND,366,7
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,MAYNUL HAQUE,M,GEN,40,IND,265,8
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,SUFIAN AHMED,M,GEN,44,IND,264,9
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,BILAL UDDIN,M,GEN,41,IND,242,10
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,TAJ MD KAMAL UDDIN KHAN,M,GEN,33,IND,212,11
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,JAMAL AHMED,M,GEN,35,IND,199,12
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,None of the Above,NULL,NULL,NULL,NOTA,173,13
S03,Assam,5,2016,Karimganj,4,Karimganj South,GEN,ABDUL HAMID,M,GEN,42,IND,159,14
