ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY,VOTES
S04,Bihar,1,Valmiki Nagar,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,M,GEN,35,IND,66860
S04,Bihar,1,Valmiki Nagar,IRSHAD HUSSAIN,M,GEN,39,INC,33280
S04,Bihar,1,Valmiki Nagar,SURENDRA PRASAD,M,GEN,49,BLSP,32855
S04,Bihar,1,Valmiki Nagar,RAJESH SINGH,M,GEN,37,SP,11472
S04,Bihar,1,Valmiki Nagar,ALTAF HUSSAIN,M,GEN,58,BSP,11097
S04,Bihar,1,Valmiki Nagar,DIP NARAYAN MAHATO,M,GEN,70,IND,8355
S04,Bihar,1,Valmiki Nagar,SHYAM NARAYAN PRASAD,M,GEN,55,IND,3196
S04,Bihar,1,Valmiki Nagar,VIRENDRA YADAV,M,GEN,40,IND,2477
S04,Bihar,1,Valmiki Nagar,SURENDRA SINGH,M,GEN,47,IND,2037
S04,Bihar,1,Valmiki Nagar,MAHANTH CHAUDHARY,M,GEN,50,SKLP,1973
S04,Bihar,1,Valmiki Nagar,DHANANJAY PANDEY,M,GEN,33,SHS,1826
S04,Bihar,1,Valmiki Nagar,VISHNUDEO PRASAD YADAV,M,GEN,33,CPI(ML)(L),1466
S04,Bihar,1,Valmiki Nagar,RAJESH KUMAR KEWAT,M,GEN,37,GJDS,1173
S04,Bihar,2,Ramnagar,BHAGIRATHI DEVI,F,SC,65,BJP,82166
S04,Bihar,2,Ramnagar,PURNMASI RAM,M,SC,58,INC,64178
S04,Bihar,2,Ramnagar,SUBODH KUMAR,M,SC,50,NCP,9488
S04,Bihar,2,Ramnagar,RAMKESHWAR RAM,M,SC,38,CPI(ML)(L),3158
S04,Bihar,2,Ramnagar,MANJAY LAL SATYAM,M,SC,34,IND,2769
S04,Bihar,2,Ramnagar,NARESH RAM,M,SC,41,BSP,2531
S04,Bihar,2,Ramnagar,SHANKAR MUSAHAR,M,SC,58,IND,1363
S04,Bihar,2,Ramnagar,VISHAL KUMAR PASHWAN,M,SC,29,IND,1279
S04,Bihar,2,Ramnagar,UDAY RAM,M,SC,36,JAPL,870
S04,Bihar,3,Narkatiaganj,VINAY VARMA,M,GEN,62,INC,57212
