ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,VOTES
S27,Jharkhand,1,Rajmahal,Anant Kumar Ojha,MALE,46,GENERAL,BJP,88904
S27,Jharkhand,1,Rajmahal,Md. Tajuddin,MALE,46,GENERAL,AJSUP,76532
S27,Jharkhand,1,Rajmahal,Ketabuddin Sekh,MALE,36,GENERAL,JMM,24619
S27,Jharkhand,1,Rajmahal,Pradip Kumar Singh,MALE,43,GENERAL,BSP,3826
S27,Jharkhand,1,Rajmahal,Gopal Chandra Mandal,MALE,53,GENERAL,IND,2617
S27,Jharkhand,1,Rajmahal,Nitya Nand Gupta,MALE,39,GENERAL,IND,2614
S27,Jharkhand,1,Rajmahal,Rajkishor Yadav,MALE,46,GENERAL,IND,1421
S27,Jharkhand,1,Rajmahal,Pranjit Kumar,MALE,52,GENERAL,IND,1348
S27,Jharkhand,1,Rajmahal,avindra Prasad Sah,MALE,40,GENERAL,IND,901
S27,Jharkhand,1,Rajmahal,NASIMA KHANAM,FEMALE,44,GENERAL,AIMIM,862
S27,Jharkhand,1,Rajmahal,Nand Lal Sah,MALE,50,GENERAL,IND,809
S27,Jharkhand,1,Rajmahal,Col. Bhagwan Yadav,MALE,64,GENERAL,RPPRINAT,599
S27,Jharkhand,1,Rajmahal,Rajkumar Yadav,MALE,48,GENERAL,JVM,594
S27,Jharkhand,1,Rajmahal,Ajay Kuamr Das,MALE,35,GENERAL,IND,577
S27,Jharkhand,1,Rajmahal,Sheo Prasad Thakur,MALE,77,GENERAL,IND,554
S27,Jharkhand,1,Rajmahal,Ramsagar Singh,MALE,52,GENERAL,RJBP,552
S27,Jharkhand,1,Rajmahal,Sanjay Kumar Mandal(Bachu),MALE,46,GENERAL,LJP,520
S27,Jharkhand,1,Rajmahal,Rameshwar Mandal,MALE,62,GENERAL,PPID,407
S27,Jharkhand,1,Rajmahal,Sanjay Kr. Pandey,MALE,54,GENERAL,SHS,334
S27,Jharkhand,1,Rajmahal,Binod Kumar Yadav,MALE,41,GENERAL,IND,306
S27,Jharkhand,1,Rajmahal,Saddam Hussain Advocate,MALE,27,GENERAL,IND,262
S27,Jharkhand,1,Rajmahal,Rajesh Mandal,MALE,34,GENERAL,IND,220
S27,Jharkhand,1,Rajmahal,Md Nawab Sheakh,MALE,47,GENERAL,RKSP,195
S27,Jharkhand,2,Borio,Lobin Hembrom,MALE,68,ST,JMM,77365
S27,Jharkhand,2,Borio,Surya Narayan Hansada,MALE,39,ST,BJP,59441
S27,Jharkhand,2,Borio,Tala Marandi,MALE,58,ST,AJSUP,8955
S27,Jharkhand,2,Borio,Sonaram Madaiya,MALE,57,ST,CPI,2705
S27,Jharkhand,2,Borio,Lukas Hansda,MALE,47,ST,JD(U),2181
S27,Jharkhand,2,Borio,Lakhan Pahadiya,MALE,30,ST,BSP,1960
S27,Jharkhand,2,Borio,Manoj Tudu,MALE,34,ST,PPID,1584
S27,Jharkhand,2,Borio,9 Tala Hansda,MALE,45,ST,IND,1435
S27,Jharkhand,2,Borio,Babu Ram Murmu,MALE,67,ST,JVM,1355
S27,Jharkhand,2,Borio,11 Paulus	Murmu,MALE,41,ST,IND,1208
S27,Jharkhand,2,Borio,Goresti Soren,FEMALE,30,ST,RTMP,1199
S27,Jharkhand,2,Borio,Bipin Kisku,MALE,26,ST,AITC,1157
S27,Jharkhand,3,Barhait,HEMANT SOREN,MALE,42,ST,JMM,73725
S27,Jharkhand,3,Barhait,SIMON MALTO,MALE,50,ST,BJP,47985
S27,Jharkhand,3,Barhait,HOPNA TUDU,MALE,47,ST,JVM,2622
S27,Jharkhand,3,Barhait,GAMLIYEL HEMBROM,MALE,25,ST,AJSUP,2573
S27,Jharkhand,3,Barhait,SAMUEL KUMAR MARAIYA,MALE,30,ST,LJP,1844
S27,Jharkhand,3,Barhait,LILI HANSDA,FEMALE,34,ST,IND,1302
S27,Jharkhand,3,Barhait,BARNARD HEMBROM,MALE,47,ST,IND,1209
S27,Jharkhand,3,Barhait,9 MARY NISHA HANSDAK,FEMALE,35,ST,IND,971
S27,Jharkhand,3,Barhait,SHEELA TUDU,FEMALE,33,ST,AITC,891
S27,Jharkhand,3,Barhait,11 CHANDU SOREN,MALE,57,ST,PPID,795
S27,Jharkhand,3,Barhait,BAIDHNATH PAHADIYA,MALE,31,ST,BSP,747
S27,Jharkhand,3,Barhait,KUNAL KANT TUDU,MALE,34,ST,SHS,592
S27,Jharkhand,4,Littipara,Dinesh William Marandi,MALE,34,ST,JMM,66675
S27,Jharkhand,4,Littipara,Daniel Kisku,MALE,44,ST,BJP,52772
S27,Jharkhand,4,Littipara,Raska Hembram,MALE,44,ST,JVM,7195
S27,Jharkhand,4,Littipara,Devendra Dehri,MALE,48,ST,CPIM,5244
S27,Jharkhand,4,Littipara,Shivcharan Malto,MALE,46,ST,AITC,2604
S27,Jharkhand,4,Littipara,Mark Baskey,MALE,26,ST,IND,1691
S27,Jharkhand,4,Littipara,Rajeev Malto,MALE,51,ST,IND,1595
S27,Jharkhand,4,Littipara,9 Fulmuni Marandi,FEMALE,42,ST,IND,1115
S27,Jharkhand,4,Littipara,Dipak Prakash Maraya,MALE,35,ST,IND,766
S27,Jharkhand,4,Littipara,11 Gupin Hembrom,MALE,37,ST,LJP,700
S27,Jharkhand,4,Littipara,ISHWAR MARANDI,MALE,41,ST,JD(U),614
S27,Jharkhand,5,Pakur,ALAMGIR ALAM,MALE,69,GENERAL,INC,128218
