ST_NAME,AC_NAME,AC_NO,CANDIDATE,PARTY,VOTES
NCT of Delhi,ADARSH NAGAR,4,ABDUL ZABBAR,BSP,344
NCT of Delhi,ADARSH NAGAR,4,MUKESH KUMAR GOEL,AAAP,41028
NCT of Delhi,ADARSH NAGAR,4,RAJ KUMAR BHATIA,BJP,52510
NCT of Delhi,ADARSH NAGAR,4,SHIVANK SINGAL,INC,5460
NCT of Delhi,ADARSH NAGAR,4,PRIYA,OTH,56
NCT of Delhi,ADARSH NAGAR,4,PREM CHAND,OTH,41
NCT of Delhi,ADARSH NAGAR,4,MD: RAHMAT ALI,OTH,18
NCT of Delhi,ADARSH NAGAR,4,VISHAL SINGH,OTH,27
NCT of Delhi,ADARSH NAGAR,4,SANJAY YADAV ADVOCATE,OTH,35
NCT of Delhi,ADARSH NAGAR,4,SANJEEV KUMAR RANA,CPI,133
NCT of Delhi,ADARSH NAGAR,4,AYUSH GUPTA,IND,64
NCT of Delhi,ADARSH NAGAR,4,NEETU SINGH,IND,111
NCT of Delhi,ADARSH NAGAR,4,RAM NIWAS,IND,140
NCT of Delhi,ADARSH NAGAR,4,VIJAY KR. AGGARWAL,IND,116
NCT of Delhi,ADARSH NAGAR,4,NOTA,NOTA,377
NCT of Delhi,AMBEDKAR NAGAR,48,DR. AJAY DUTT,AAAP,46285
NCT of Delhi,AMBEDKAR NAGAR,48,KHUSHI RAM CHUNAR,BJP,42055
NCT of Delhi,AMBEDKAR NAGAR,48,JAI PRAKASH,INC,7172
NCT of Delhi,AMBEDKAR NAGAR,48,SEWA DASS,BSP,397
NCT of Delhi,AMBEDKAR NAGAR,48,ARUN,OTH,302
NCT of Delhi,AMBEDKAR NAGAR,48,GULSHAN BHARTI,OTH,32
NCT of Delhi,AMBEDKAR NAGAR,48,DARSAN SINGH,OTH,261
NCT of Delhi,AMBEDKAR NAGAR,48,RAJIV KUMAR,OTH,85
NCT of Delhi,AMBEDKAR NAGAR,48,ASHOK KUMAR,IND,102
NCT of Delhi,AMBEDKAR NAGAR,48,NOTA,NOTA,498
NCT of Delhi,BABARPUR,67,ANIL KUMAR VASHISHT,BJP,57198
NCT of Delhi,BABARPUR,67,GOPAL RAI,AAAP,76192
NCT of Delhi,BABARPUR,67,MOHD ISHRAQ KHAN,INC,8797
NCT of Delhi,BABARPUR,67,BHUPENDER YADAV,OTH,93
NCT of Delhi,BABARPUR,67,MD NAZIR,OTH,201
NCT of Delhi,BABARPUR,67,MANOJ KUMAR,OTH,76
NCT of Delhi,BABARPUR,67,SHIV KUMAR(KAKE),OTH,89
NCT of Delhi,BABARPUR,67,MOHAMMAD ABDULLAH ANSARI,IND,124
NCT of Delhi,BABARPUR,67,NOTA,NOTA,474
NCT of Delhi,BADARPUR,53,ARJUN SINGH BHADANA,INC,3145
NCT of Delhi,BADARPUR,53,JAGDISH CHAND,CPM,367
