ST_CODE,ST_NAME,PC_NO,PC_NAME,AC_NO,AC_NAME,CANDIDATE,PARTY,VOTES
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),ANUMULA VAMSIKRISHNA,IND,568
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),BIDDIKA RAMAYYA.,IND,636
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1753
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),GANGULAIAH VAMPURU.,JnP,2987
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),GODDETI. MADHAVI,YSRCP,69588
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),KANGALA BALUDORA,IND,418
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),KISHORE CHANDRA DEO,TDP,54056
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),NARAVA SATYAVATHI,IND,743
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),SHRUTI DEVI VYRICHERLA,INC,1327
S01,Andhra Pradesh,1,Araku,10,Palakonda (ST),SWAMULA. SUBRAHMANYAM,JAJGP,203
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),ANUMULA VAMSIKRISHNA,IND,1082
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),BIDDIKA RAMAYYA.,IND,793
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3273
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),GANGULAIAH VAMPURU.,JnP,5391
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),GODDETI. MADHAVI,YSRCP,71694
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),KANGALA BALUDORA,IND,886
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),KISHORE CHANDRA DEO,TDP,51399
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),NARAVA SATYAVATHI,IND,1127
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),SHRUTI DEVI VYRICHERLA,INC,1954
S01,Andhra Pradesh,1,Araku,11,Kurupam (ST),SWAMULA. SUBRAHMANYAM,JAJGP,469
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),ANUMULA VAMSIKRISHNA,IND,530
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),BIDDIKA RAMAYYA.,IND,386
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1474
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),GANGULAIAH VAMPURU.,JnP,4995
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),GODDETI. MADHAVI,YSRCP,68836
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),KANGALA BALUDORA,IND,390
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),KISHORE CHANDRA DEO,TDP,57159
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),NARAVA SATYAVATHI,IND,664
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),SHRUTI DEVI VYRICHERLA,INC,1362
S01,Andhra Pradesh,1,Araku,12,Parvathipuram (SC),SWAMULA. SUBRAHMANYAM,JAJGP,189
S01,Andhra Pradesh,1,Araku,13,Salur (ST),ANUMULA VAMSIKRISHNA,IND,755
