ST_NAME,PC_NO,PC_NAME,AC_NO,AC_NAME,CANDIDATE,PARTY,VOTES
Andhra Pradesh,1,Araku,10,Palakonda,APPALANARASA PACHIPENTA,CPI(M),3873
Andhra Pradesh,1,Araku,10,Palakonda,AVASHYA LAHARI . VARAM,BSP,1155
Andhra Pradesh,1,Araku,10,Palakonda,KOTHAPALLI GEETHA,BJP,66695
Andhra Pradesh,1,Araku,10,Palakonda,GUMMA THANUJA RANI,YSRCP,63302
Andhra Pradesh,1,Araku,10,Palakonda,CHANTI BADNAINA,JBNP,1977
Andhra Pradesh,1,Araku,10,Palakonda,MOTTADAM . RAJABABU,BHRTADVSIP,463
Andhra Pradesh,1,Araku,10,Palakonda,RAMBABU JALLI,TLRDSMTP,836
Andhra Pradesh,1,Araku,10,Palakonda,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,358
Andhra Pradesh,1,Araku,10,Palakonda,ATHIDHI,IND,492
Andhra Pradesh,1,Araku,10,Palakonda,NIMMAKA JAYARAJU,IND,891
Andhra Pradesh,1,Araku,10,Palakonda,MANDALA GIRIDHARA RAO,IND,410
Andhra Pradesh,1,Araku,10,Palakonda,RANJITH KUMAR PALAKA,IND,479
Andhra Pradesh,1,Araku,10,Palakonda,SAMAREDDY BALAKRISHNA,IND,1211
Andhra Pradesh,1,Araku,11,Kurupam,APPALANARASA PACHIPENTA,CPI(M),8996
Andhra Pradesh,1,Araku,11,Kurupam,AVASHYA LAHARI . VARAM,BSP,1987
Andhra Pradesh,1,Araku,11,Kurupam,KOTHAPALLI GEETHA,BJP,64778
Andhra Pradesh,1,Araku,11,Kurupam,GUMMA THANUJA RANI,YSRCP,61917
Andhra Pradesh,1,Araku,11,Kurupam,CHANTI BADNAINA,JBNP,579
Andhra Pradesh,1,Araku,11,Kurupam,MOTTADAM . RAJABABU,BHRTADVSIP,686
Andhra Pradesh,1,Araku,11,Kurupam,RAMBABU JALLI,TLRDSMTP,461
Andhra Pradesh,1,Araku,11,Kurupam,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,737
Andhra Pradesh,1,Araku,11,Kurupam,ATHIDHI,IND,465
Andhra Pradesh,1,Araku,11,Kurupam,NIMMAKA JAYARAJU,IND,4575
Andhra Pradesh,1,Araku,11,Kurupam,MANDALA GIRIDHARA RAO,IND,401
Andhra Pradesh,1,Araku,11,Kurupam,RANJITH KUMAR PALAKA,IND,629
Andhra Pradesh,1,Araku,11,Kurupam,SAMAREDDY BALAKRISHNA,IND,805
Andhra Pradesh,1,Araku,12,Parvathipuram,APPALANARASA PACHIPENTA,CPI(M),3641
Andhra Pradesh,1,Araku,12,Parvathipuram,AVASHYA LAHARI . VARAM,BSP,1444
Andhra Pradesh,1,Araku,12,Parvathipuram,KOTHAPALLI GEETHA,BJP,74704
Andhra Pradesh,1,Araku,12,Parvathipuram,GUMMA THANUJA RANI,YSRCP,60813
Andhra Pradesh,1,Araku,12,Parvathipuram,CHANTI BADNAINA,JBNP,546
Andhra Pradesh,1,Araku,12,Parvathipuram,MOTTADAM . RAJABABU,BHRTADVSIP,317
Andhra Pradesh,1,Araku,12,Parvathipuram,RAMBABU JALLI,TLRDSMTP,432
Andhra Pradesh,1,Araku,12,Parvathipuram,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,379
Andhra Pradesh,1,Araku,12,Parvathipuram,ATHIDHI,IND,313
Andhra Pradesh,1,Araku,12,Parvathipuram,NIMMAKA JAYARAJU,IND,298
Andhra Pradesh,1,Araku,12,Parvathipuram,MANDALA GIRIDHARA RAO,IND,476
Andhra Pradesh,1,Araku,12,Parvathipuram,RANJITH KUMAR PALAKA,IND,390
Andhra Pradesh,1,Araku,12,Parvathipuram,SAMAREDDY BALAKRISHNA,IND,454
Andhra Pradesh,1,Araku,13,Salur,APPALANARASA PACHIPENTA,CPI(M),4828
Andhra Pradesh,1,Araku,13,Salur,AVASHYA LAHARI . VARAM,BSP,2039
Andhra Pradesh,1,Araku,13,Salur,KOTHAPALLI GEETHA,BJP,69166
Andhra Pradesh,1,Araku,13,Salur,GUMMA THANUJA RANI,YSRCP,68643
Andhra Pradesh,1,Araku,13,Salur,CHANTI BADNAINA,JBNP,614
Andhra Pradesh,1,Araku,13,Salur,MOTTADAM . RAJABABU,BHRTADVSIP,433
Andhra Pradesh,1,Araku,13,Salur,RAMBABU JALLI,TLRDSMTP,497
Andhra Pradesh,1,Araku,13,Salur,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,497
Andhra Pradesh,1,Araku,13,Salur,ATHIDHI,IND,504
Andhra Pradesh,1,Araku,13,Salur,NIMMAKA JAYARAJU,IND,615
Andhra Pradesh,1,Araku,13,Salur,MANDALA GIRIDHARA RAO,IND,629
Andhra Pradesh,1,Araku,13,Salur,RANJITH KUMAR PALAKA,IND,547
Andhra Pradesh,1,Araku,13,Salur,SAMAREDDY BALAKRISHNA,IND,958
Andhra Pradesh,1,Araku,28,Araku Valley,APPALANARASA PACHIPENTA,CPI(M),45109
Andhra Pradesh,1,Araku,28,Araku Valley,AVASHYA LAHARI . VARAM,BSP,10465
Andhra Pradesh,1,Araku,28,Araku Valley,KOTHAPALLI GEETHA,BJP,29824
Andhra Pradesh,1,Araku,28,Araku Valley,GUMMA THANUJA RANI,YSRCP,62862
Andhra Pradesh,1,Araku,28,Araku Valley,CHANTI BADNAINA,JBNP,1423
Andhra Pradesh,1,Araku,28,Araku Valley,MOTTADAM . RAJABABU,BHRTADVSIP,1345
Andhra Pradesh,1,Araku,28,Araku Valley,RAMBABU JALLI,TLRDSMTP,1073
Andhra Pradesh,1,Araku,28,Araku Valley,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,927
Andhra Pradesh,1,Araku,28,Araku Valley,ATHIDHI,IND,3023
Andhra Pradesh,1,Araku,28,Araku Valley,NIMMAKA JAYARAJU,IND,867
Andhra Pradesh,1,Araku,28,Araku Valley,MANDALA GIRIDHARA RAO,IND,1225
Andhra Pradesh,1,Araku,28,Araku Valley,RANJITH KUMAR PALAKA,IND,2085
Andhra Pradesh,1,Araku,28,Araku Valley,SAMAREDDY BALAKRISHNA,IND,2537
Andhra Pradesh,1,Araku,29,Paderu,APPALANARASA PACHIPENTA,CPI(M),27700
Andhra Pradesh,1,Araku,29,Paderu,AVASHYA LAHARI . VARAM,BSP,4541
Andhra Pradesh,1,Araku,29,Paderu,KOTHAPALLI GEETHA,BJP,35836
Andhra Pradesh,1,Araku,29,Paderu,GUMMA THANUJA RANI,YSRCP,69801
Andhra Pradesh,1,Araku,29,Paderu,CHANTI BADNAINA,JBNP,1119
Andhra Pradesh,1,Araku,29,Paderu,MOTTADAM . RAJABABU,BHRTADVSIP,2080
Andhra Pradesh,1,Araku,29,Paderu,RAMBABU JALLI,TLRDSMTP,819
Andhra Pradesh,1,Araku,29,Paderu,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,884
Andhra Pradesh,1,Araku,29,Paderu,ATHIDHI,IND,2507
Andhra Pradesh,1,Araku,29,Paderu,NIMMAKA JAYARAJU,IND,915
Andhra Pradesh,1,Araku,29,Paderu,MANDALA GIRIDHARA RAO,IND,977
Andhra Pradesh,1,Araku,29,Paderu,RANJITH KUMAR PALAKA,IND,938
Andhra Pradesh,1,Araku,29,Paderu,SAMAREDDY BALAKRISHNA,IND,1916
Andhra Pradesh,1,Araku,53,Rampachodavaram,APPALANARASA PACHIPENTA,CPI(M),24869
Andhra Pradesh,1,Araku,53,Rampachodavaram,AVASHYA LAHARI . VARAM,BSP,3227
Andhra Pradesh,1,Araku,53,Rampachodavaram,KOTHAPALLI GEETHA,BJP,76110
Andhra Pradesh,1,Araku,53,Rampachodavaram,GUMMA THANUJA RANI,YSRCP,84132
Andhra Pradesh,1,Araku,53,Rampachodavaram,CHANTI BADNAINA,JBNP,947
Andhra Pradesh,1,Araku,53,Rampachodavaram,MOTTADAM . RAJABABU,BHRTADVSIP,1046
Andhra Pradesh,1,Araku,53,Rampachodavaram,RAMBABU JALLI,TLRDSMTP,815
Andhra Pradesh,1,Araku,53,Rampachodavaram,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,718
Andhra Pradesh,1,Araku,53,Rampachodavaram,ATHIDHI,IND,817
Andhra Pradesh,1,Araku,53,Rampachodavaram,NIMMAKA JAYARAJU,IND,637
Andhra Pradesh,1,Araku,53,Rampachodavaram,MANDALA GIRIDHARA RAO,IND,813
