ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,VOTES,POSITION
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,M,GEN,35,IND,66860,1
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,IRSHAD HUSSAIN,M,GEN,39,INC,33280,2
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,SURENDRA PRASAD,M,GEN,49,BLSP,32855,3
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,RAJESH SINGH,M,GEN,37,SP,11472,4
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,ALTAF HUSSAIN,M,GEN,58,BSP,11097,5
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,DIP NARAYAN MAHATO,M,GEN,70,IND,8355,6
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,None of the Above,NULL,NULL,NULL,NOTA,6767,7
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,SHYAM NARAYAN PRASAD,M,GEN,55,IND,3196,8
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,VIRENDRA YADAV,M,GEN,40,IND,2477,9
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,SURENDRA SINGH,M,GEN,47,IND,2037,10
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,MAHANTH CHAUDHARY,M,GEN,50,SKLP,1973,11
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,DHANANJAY PANDEY,M,GEN,33,SHS,1826,12
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,VISHNUDEO PRASAD YADAV,M,GEN,33,CPI(ML)(L),1466,13
S04,Bihar,11,2015,Paschim Champaran,1,Valmiki Nagar,GEN,RAJESH KUMAR KEWAT,M,GEN,37,GJDS,1173,14
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,BHAGIRATHI DEVI,F,SC,65,BJP,82166,1
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,PURNMASI RAM,M,SC,58,INC,64178,2
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,SUBODH KUMAR,M,SC,50,NCP,9488,3
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,None of the Above,NULL,NULL,NULL,NOTA,3195,4
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,RAMKESHWAR RAM,M,SC,38,CPI(ML)(L),3158,5
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,MANJAY LAL SATYAM,M,SC,34,IND,2769,6
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,NARESH RAM,M,SC,41,BSP,2531,7
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,SHANKAR MUSAHAR,M,SC,58,IND,1363,8
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,VISHAL KUMAR PASHWAN,M,SC,29,IND,1279,9
S04,Bihar,11,2015,Paschim Champaran,2,Ramnagar (SC),SC,UDAY RAM,M,SC,36,JAPL,870,10
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,VINAY VARMA,M,GEN,62,INC,57212,1
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,RENU DEVI,F,GEN,34,BJP,41151,2
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,RASHMI VERMA,F,GEN,48,IND,39200,3
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,RAMBHAJU MAHATO,M,GEN,58,IND,2262,4
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,NAUSHAD ALAM,M,GEN,42,BSP,2124,5
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,SHAILESH MISHRA,M,GEN,52,IND,1666,6
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,PREM NARAYAN OJHA,M,GEN,64,SHS,1431,7
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,UMESH YADAW,M,GEN,36,SP,1359,8
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,BHOT CHATURVEDI,M,GEN,62,IND,1076,9
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,RAMESH PASWAN,M,SC,43,IND,1072,10
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,MANISH ALAM,M,GEN,33,NCP,967,11
S04,Bihar,11,2015,Paschim Champaran,3,Narkatiaganj,GEN,OM SHANTI BABA,M,GEN,51,BED,956,12
