ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,YEAR,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,DIST_NAME,AC_TYPE,VOTES,,,,,,,,
S24,Uttar Pradesh,1,Behat,NARESH SAINI,2017,M,53,GEN,INC,,,97035,,,,,,,,
S24,Uttar Pradesh,1,Behat,MAHAVEER SINGH RANA,2017,M,55,GEN,BJP,,,71449,,,,,,,,
S24,Uttar Pradesh,1,Behat,MOHD. IQBAL,2017,M,52,GEN,BSP,,,71019,,,,,,,,
S24,Uttar Pradesh,1,Behat,RANA ADITYA PRATAP SINGH,2017,M,49,GEN,IND,,,4187,,,,,,,,
S24,Uttar Pradesh,1,Behat,KAMRAN ALI,2017,M,37,GEN,BHASP,,,1255,,,,,,,,
S24,Uttar Pradesh,1,Behat,ARUN,2017,M,38,GEN,RLD,,,1150,,,,,,,,
S24,Uttar Pradesh,1,Behat,HARDHYAN,2017,M,39,SC,IND,,,1113,,,,,,,,
S24,Uttar Pradesh,1,Behat,GOPAL SINGH,2017,M,32,GEN,IND,,,945,,,,,,,,
S24,Uttar Pradesh,1,Behat,KRISHNA KUMAR,2017,M,35,SC,IND,,,810,,,,,,,,
S24,Uttar Pradesh,1,Behat,KALYAN SINGH,2017,M,45,GEN,IND,,,659,,,,,,,,
S24,Uttar Pradesh,1,Behat,LOKESH VERMA,2017,M,34,GEN,BHATARSP,,,617,,,,,,,,
S24,Uttar Pradesh,1,Behat,SAKEEM KHAN,2017,M,42,GEN,BMUP,,,425,,,,,,,,
S24,Uttar Pradesh,1,Behat,KARM SINGH,2017,M,57,GEN,IND,,,319,,,,,,,,
S24,Uttar Pradesh,2,Nakur,DR.DHARAM SINGH SAINI,2017,M,60,GEN,BJP,,,94375,,,,,,,,
S24,Uttar Pradesh,2,Nakur,IMRAN MASOOD,2017,M,46,GEN,INC,,,90318,,,,,,,,
S24,Uttar Pradesh,2,Nakur,NAVEEN CHOUDHARY,2017,M,38,GEN,BSP,,,65328,,,,,,,,
