ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,VOTES
S27,Jharkhand,1,Rajmahal,1 Anant Kumar Ojha,MALE,46,GENERAL,BJP,88904
S27,Jharkhand,1,Rajmahal,2 Md. Tajuddin,MALE,46,GENERAL,AJSUP,76532
S27,Jharkhand,1,Rajmahal,3 Ketabuddin Sekh,MALE,36,GENERAL,JMM,24619
S27,Jharkhand,1,Rajmahal,4 Pradip Kumar Singh,MALE,43,GENERAL,BSP,3826
S27,Jharkhand,1,Rajmahal,5 Gopal Chandra Mandal,MALE,53,GENERAL,IND,2617
S27,Jharkhand,1,Rajmahal,6 Nitya Nand Gupta,MALE,39,GENERAL,IND,2614
S27,Jharkhand,1,Rajmahal,7 Rajkishor Yadav,MALE,46,GENERAL,IND,1421
S27,Jharkhand,1,Rajmahal,8 Pranjit Kumar,MALE,52,GENERAL,IND,1348
S27,Jharkhand,1,Rajmahal,9 Ravindra Prasad Sah,MALE,40,GENERAL,IND,901
S27,Jharkhand,1,Rajmahal,10 NASIMA KHANAM,FEMALE,44,GENERAL,AIMIM,862
S27,Jharkhand,1,Rajmahal,12 Nand Lal Sah,MALE,50,GENERAL,IND,809
S27,Jharkhand,1,Rajmahal,13 Col. Bhagwan Yadav,MALE,64,GENERAL,RPPRINAT,599
S27,Jharkhand,1,Rajmahal,14 Rajkumar Yadav,MALE,48,GENERAL,JVM,594
S27,Jharkhand,1,Rajmahal,15 Ajay Kuamr Das,MALE,35,GENERAL,IND,577
S27,Jharkhand,1,Rajmahal,16 Sheo Prasad Thakur,MALE,77,GENERAL,IND,554
S27,Jharkhand,1,Rajmahal,17 Ramsagar Singh,MALE,52,GENERAL,RJBP,552
S27,Jharkhand,1,Rajmahal,18 Sanjay Kumar Mandal(Bachu),MALE,46,GENERAL,LJP,520
S27,Jharkhand,1,Rajmahal,19 Rameshwar Mandal,MALE,62,GENERAL,PPID,407
S27,Jharkhand,1,Rajmahal,20 Sanjay Kr. Pandey,MALE,54,GENERAL,SHS,334
S27,Jharkhand,1,Rajmahal,21 Binod Kumar Yadav,MALE,41,GENERAL,IND,306
S27,Jharkhand,1,Rajmahal,22 Saddam Hussain Advocate,MALE,27,GENERAL,IND,262
S27,Jharkhand,1,Rajmahal,23 Rajesh Mandal,MALE,34,GENERAL,IND,220
S27,Jharkhand,1,Rajmahal,24 Md Nawab Sheakh,MALE,47,GENERAL,RKSP,195
S27,Jharkhand,2,Borio,1 Lobin Hembrom,MALE,68,ST,JMM,77365
S27,Jharkhand,2,Borio,2 Surya Narayan Hansada,MALE,39,ST,BJP,59441
S27,Jharkhand,2,Borio,3 Tala Marandi,MALE,58,ST,AJSUP,8955
S27,Jharkhand,2,Borio,4 Sonaram Madaiya,MALE,57,ST,CPI,2705
S27,Jharkhand,2,Borio,6 Lukas Hansda,MALE,47,ST,JD(U),2181
S27,Jharkhand,2,Borio,7 Lakhan Pahadiya,MALE,30,ST,BSP,1960
S27,Jharkhand,2,Borio,8 Manoj Tudu,MALE,34,ST,PPID,1584
S27,Jharkhand,2,Borio,9 Tala Hansda,MALE,45,ST,IND,1435
S27,Jharkhand,2,Borio,10 Babu Ram Murmu,MALE,67,ST,JVM,1355
S27,Jharkhand,2,Borio,11 Paulus	Murmu,MALE,41,ST,IND,1208
S27,Jharkhand,2,Borio,12 Goresti Soren,FEMALE,30,ST,RTMP,1199
S27,Jharkhand,2,Borio,13 Bipin Kisku,MALE,26,ST,AITC,1157
S27,Jharkhand,3,Barhait,1 HEMANT SOREN,MALE,42,ST,JMM,73725
S27,Jharkhand,3,Barhait,2 SIMON MALTO,MALE,50,ST,BJP,47985
S27,Jharkhand,3,Barhait,3 HOPNA TUDU,MALE,47,ST,JVM,2622
S27,Jharkhand,3,Barhait,4 GAMLIYEL HEMBROM,MALE,25,ST,AJSUP,2573
S27,Jharkhand,3,Barhait,6 SAMUEL KUMAR MARAIYA,MALE,30,ST,LJP,1844
S27,Jharkhand,3,Barhait,7 LILI HANSDA,FEMALE,34,ST,IND,1302
S27,Jharkhand,3,Barhait,8 BARNARD HEMBROM,MALE,47,ST,IND,1209
