ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,VOTES,POSITION
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,RAJA MANZOOR AHMAD,M,GEN,59,JKPDP,12371,1
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,KIFIL UR REHMAN KHAN,M,GEN,59,JKN,6596,2
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,ALI ASGAR KHAN,M,GEN,75,INC,2894,3
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,MOHAMMAD SALEEM MIR,M,GEN,38,JPC,2359,4
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,ISHFAQ UR REHMAN,M,GEN,42,BJP,654,5
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,JAHANGIR KHAN,M,GEN,41,JKNPP,453,6
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,AIJAZ AHMAD BADANA,M,GEN,61,AJKMP,339,7
S09,Jammu & Kashmir,12,2014,KUPWARA,1,Karnah,GEN,None of the Above,NULL,NULL,NULL,NOTA,244,8
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,BASHIR AHMAD DAR,M,GEN,52,JPC,24754,1
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,MIR MOHD FAYAZ,M,GEN,37,JKPDP,24603,2
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,MIR SAIFULLAH,M,GEN,54,JKN,17390,3
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,AB REHMAN LONE,M,GEN,49,BJP,790,4
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,WALI MOHD KHAN,M,GEN,38,JKNPP,672,5
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,None of the Above,NULL,NULL,NULL,NOTA,664,6
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,GH HASSAN SHEIKH,M,GEN,50,AJKMP,598,7
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,ADV. MOHD AMIN PEER,M,GEN,42,IND,582,8
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,GH RASOOL MALIK,M,GEN,65,INC,561,9
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,JAVID AHMAD WANI,M,GEN,38,IND,412,10
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,MUSHTAQ AHMAD SHIEKH,M,GEN,25,IND,352,11
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,SARDAR KHAN,M,SC,44,BSP,283,12
S09,Jammu & Kashmir,12,2014,KUPWARA,2,Kupwara,GEN,SAIFULLAH KHAN,M,GEN,60,NCP,157,13
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,ABDUL HAQ KHAN,M,GEN,61,JKPDP,29408,1
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,QAISER JAMSHEED LONE,M,GEN,39,JKN,26538,2
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,HAJI FAROOQ AHMAD MIR,M,GEN,51,INC,7629,3
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,ABDUL REHMAN WANI,M,GEN,60,JPC,3981,4
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,None of the Above,NULL,NULL,NULL,NOTA,1222,5
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,AB RASHID ZARGAR,M,GEN,39,BJP,1092,6
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,SURIAYA BANO,F,GEN,36,RPI,765,7
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,MOHAMMAD SULTAN MAGRAY,M,GEN,40,AJKMP,458,8
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,GHULAM AHMAD MALIK,M,GEN,37,JKNPP,268,9
S09,Jammu & Kashmir,12,2014,KUPWARA,3,Lolab,GEN,GH NABI SHAH,M,GEN,49,BSP,256,10
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,SAJAD GANI LONE,M,GEN,47,JPC,29355,1
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,CHOWDRY MOHAMAD RAMZAN,M,GEN,65,JKN,23932,2
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,GHULAM MOHI-UI-DIN SOFI,M,GEN,64,JKPDP,9849,3
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,MOHD YASEEN BHAT,M,GEN,70,INC,1119,4
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,None of the Above,NULL,NULL,NULL,NOTA,776,5
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,ABDUL RAHMAN TANTRY,M,GEN,65,IND,747,6
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,SAJAD AHMAD PIR,M,GEN,40,BSP,492,7
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,AJAZ AHMAD SOFI,M,GEN,44,IND,397,8
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,GH. QADIR MIRCHA,M,GEN,61,AJKMP,390,9
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,ANAYTULLAH LOHAR,M,GEN,39,IND,302,10
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,HILAL AHMAD TANTRY,M,GEN,34,IND,228,11
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,HANEEFA BEGUM,F,GEN,36,IND,198,12
S09,Jammu & Kashmir,12,2014,KUPWARA,4,Handwara,GEN,MOHD ABDULLAH BHAT,M,GEN,60,JKNPP,189,13
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,ABDUL RASHID SHEIKH,M,GEN,46,IND,18172,1
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,GHULAM NABI GANAI,M,GEN,53,JKPDP,15667,2
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,MOHD ABDULLAH MIR,M,GEN,63,JPC,10015,3
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,IRSHAD HUSSAIN GANAIE,M,GEN,32,IND,1819,4
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,WALI MOHD BHAT,M,GEN,61,JKN,1645,5
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,BASHIR AHMAD WANI,M,GEN,59,INC,983,6
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,MOHD AKBAR GANIE,M,GEN,40,IND,632,7
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,MOHD RAMZAN MALLA,M,GEN,59,IND,607,8
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,None of the Above,NULL,NULL,NULL,NOTA,532,9
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,MOHAMMAD MAQBOOL WAR,M,GEN,54,BJP,523,10
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,MUDASIR AHMAD TANTRY,M,GEN,28,IND,390,11
S09,Jammu & Kashmir,12,2014,KUPWARA,5,Langate,GEN,JAVID AHMAD NAJAR,M,GEN,39,JKNPP,211,12
S09,Jammu & Kashmir,12,2014,BARAMULLA,6,Uri,GEN,MOHAMMAD SHAFI,M,GEN,71,JKN,24359,1
S09,Jammu & Kashmir,12,2014,BARAMULLA,6,Uri,GEN,AIJAZ ALI KHAN,M,GEN,62,JKPDP,18567,2
S09,Jammu & Kashmir,12,2014,BARAMULLA,6,Uri,GEN,TAJ MOHI-UD-DIN,M,GEN,69,INC,16588,3
S09,Jammu & Kashmir,12,2014,BARAMULLA,6,Uri,GEN,MUSHTAQ AHMAD MIR,M,GEN,57,BJP,1269,4
S09,Jammu & Kashmir,12,2014,BARAMULLA,6,Uri,GEN,None of the Above,NULL,NULL,NULL,NOTA,729,5
S09,Jammu & Kashmir,12,2014,BARAMULLA,6,Uri,GEN,WASEEM RAJA,M,GEN,26,AJKMP,549,6
S09,Jammu & Kashmir,12,2014,BARAMULLA,7,Rafiabad,GEN,YAWAR AHMAD MIR,M,GEN,27,JKPDP,17918,1
S09,Jammu & Kashmir,12,2014,BARAMULLA,7,Rafiabad,GEN,ABDUL GANI VAKIL,M,GEN,56,INC,15584,2
S09,Jammu & Kashmir,12,2014,BARAMULLA,7,Rafiabad,GEN,JAVED AHMAD DAR,M,GEN,40,JKN,14980,3
S09,Jammu & Kashmir,12,2014,BARAMULLA,7,Rafiabad,GEN,KHURSHEED AHMAD KHAN,M,GEN,57,JPC,3080,4
