ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TVTSPOL_IC,POSITION,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,SHARAD KUMAR,M,GEN,40,AAAP,96143,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,NEEL DAMAN KHATRI,M,GEN,44,BJP,55851,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,PRAVEEN KUMAR BHUGRA,M,GEN,46,INC,4643,7,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,ROOPESH BHARDWAJ,M,GEN,40,BSP,1662,9,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,None of the Above,NULL,NULL,NULL,NOTA,767,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,BRIJ MOHAN,M,GEN,37,SHS,478,16,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,SURENDER,M,GEN,48,CPI(ML)(L),363,17,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,MANOJ KUMAR,M,GEN,42,IND,218,21,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,1,NERELA,GEN,AJAY MUDGIL,M,GEN,30,IND,191,23,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,SANJEEV JHA,M,GEN,35,AAAP,124724,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,GOPAL JHA,M,GEN,46,BJP,56774,3,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,J S CHAUHAN,M,GEN,66,INC,6750,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,RAMBIR,M,SC,42,BSP,2343,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,MANAGER CHAURASIYA,M,GEN,45,SUCI,930,12,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,DHARAM PAL SINGH,M,GEN,49,SHS,561,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,KHADAK LAL,M,GEN,63,IND,540,16,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,RICHA MUNDRA,F,GEN,37,SASAPT,532,17,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,NAFE SINGH RAJPUT,M,GEN,41,IND,435,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,None of the Above,NULL,NULL,NULL,NOTA,413,21,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,PREM SHANKAR SHARMA,M,GEN,51,ABSPARTY,382,22,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,MADHU DIWAKAR,F,GEN,45,CPM,250,27,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,RANJAN KUMAR SINGH,M,GEN,29,BaJD,158,35,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,SUSHIL KUMAR MISHRA,M,GEN,41,ABHM,130,37,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,GULAB SINGHAL,M,GEN,39,RAJP,110,38,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,RAJBIR SINGH,M,SC,34,IND,109,39,,,,,,,,
