ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TVTSPOL_IC,POSITION
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,KONERU KONAPPA,M,GEN,58,BSP,49033,1
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,KAVETI SAMMAIAH,M,GEN,57,TRS,40196,2
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,KOKKIRALA PREM SAGAR RAO,M,GEN,50,INC,26955,3
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,RAAVI SRINIVAS RAO,M,GEN,40,TDP,19359,4
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,M.D RAZI HYDER.,M,GEN,59,MaSP,4675,5
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,MOHAMMAD JABBAR KHAN.,M,GEN,50,IND,3769,6
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,None of the Above,NULL,NULL,NULL,NOTA,1756,7
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,DURGAM. SHYAM RAO,M,SC,57,IND,1614,8
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,MURALI KRISHNA.R.,M,GEN,38,IND,1263,9
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,M.RAMCHANDER,M,SC,54,IND,933,10
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,LENDUGURE MENGAJI PATEL,M,GEN,62,BCUF,923,11
S01,Andhra Pradesh,5,2014,Adilabad,1,Sirpur,GEN,SHABBIR HUSSAIN,M,GEN,38,YSRCP,812,12
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,NALLALA ODELU,M,SC,50,TRS,64867,1
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,GADDAM VINOD,M,SC,57,INC,38703,2
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,RAM VENU,M,SC,39,BJP,7879,3
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,SOGALA SANJEEV,M,SC,34,RP(K),5711,4
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,None of the Above,NULL,NULL,NULL,NOTA,1616,5
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,THUNGAPINDI RAMESH,M,SC,34,BSP,1607,6
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,SEGGAM RAJESHWAR,M,SC,44,IND,1415,7
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,MEDAPAKA SATHISH,M,SC,29,IND,1069,8
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,THOGARI BANESH,M,SC,39,IND,1064,9
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,MEKALA PRAMEELA,F,SC,47,YSRCP,843,10
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,ANDUGULA SRINIVAS,M,SC,42,IND,571,11
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,MOYYA RAMBABU,M,SC,45,IND,568,12
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,RODDA MOHAN,M,SC,33,AAAP,536,13
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,ELPULA SRINIVAS,M,SC,37,RLD,500,14
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,RAMAGIRI VIKRAM SINGH,M,SC,27,NIP,404,15
S01,Andhra Pradesh,5,2014,Adilabad,2,Chennur ,SC,BIRUDULA PRADEEP,M,SC,29,IND,368,16
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,DURGAM CHINNAIAH,M,SC,43,TRS,73779,1
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,GUNDA MALLESH,M,SC,67,CPI,21251,2
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,PATI SUBHADRA,F,SC,59,TDP,9167,3
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,BADIKELA SAMPATH KUMAR,M,SC,51,IND,2648,4
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,JADI SHANKARAIAH,M,SC,41,IND,1940,5
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,SABBANI KRISHNA,M,SC,51,MCPI,1390,6
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,ERUKALA RAJ KIRAN,M,SC,35,YSRCP,1377,7
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,CHILUMULA SHANKAR,M,SC,49,IND,1257,8
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,None of the Above,NULL,NULL,NULL,NOTA,781,9
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,DANDU RAVINDER,M,SC,45,LSP,631,10
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,MADDALA SRINIVAS,M,SC,33,IND,618,11
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,GADDALA HYMAVATHI,F,SC,32,IND,545,12
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,MEKALA  VENKATESHAM,M,SC,44,IND,518,13
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,NEERLA PADMA,F,SC,34,IND,517,14
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,DUBASI PRABHAKAR,M,SC,29,IND,516,15
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,AMBALA MAHENDAR,M,SC,43,IND,503,16
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,GANDHAM SHANKAR,M,SC,48,IND,436,17
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,BANDARI SRINIVAS,M,SC,27,AAAP,385,18
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,BATHULA MADHU,M,SC,35,AIFB,366,19
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,MOGURAM KANNAIAH,M,SC,42,IND,359,20
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,RAJALINGU CHIPPAKURTHI,M,SC,28,IND,320,21
S01,Andhra Pradesh,5,2014,Adilabad,3,Bellampalli,SC,RATHNAM SRIKANTH,M,SC,27,IND,150,22
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,DIWAKAR RAO NADIPELLI,M,GEN,61,TRS,95171,1
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,GADDAM ARAVINDA REDDY,M,GEN,57,INC,35921,2
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,MULKALA MALLAREDDY,M,GEN,46,BJP,11584,3
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,AZMEERA LALKUMAR,M,ST,36,IND,5110,4
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,None of the Above,NULL,NULL,NULL,NOTA,1482,5
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,MITTAPALLI KIRAN KUMAR,M,SC,28,pjdl,1206,6
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,VEMULA KIRAN,M,GEN,30,BSP,970,7
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,SYED AFZALUDDIN,M,GEN,37,YSRCP,813,8
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,BAKAM MALLESH,M,GEN,34,IND,482,9
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,NAINALA VENKATESHWARLU,M,GEN,41,IND,359,10
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,MD.CHAND PASHA,M,GEN,46,IND,354,11
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,RAVIKANTI DASHARATHAM,M,GEN,56,IND,345,12
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,SHAIK MOHAMED,M,GEN,46,IND,336,13
S01,Andhra Pradesh,5,2014,Adilabad,4,Mancherial,GEN,RANGU MALLESHAM,M,GEN,44,AIFB,320,14
S01,Andhra Pradesh,5,2014,Adilabad,5,Asifabad ,ST,KOVA LAXMI,F,ST,45,TRS,59094,1
S01,Andhra Pradesh,5,2014,Adilabad,5,Asifabad ,ST,ATRAM SAKKU,M,ST,42,INC,40039,2
