ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,VOTES,POSITION
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,LATIKA SHARMA,F,GEN,49,BJP,50347,1
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,PARDEEP CHAUDHARY,M,GEN,53,INLD,31320,2
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,MANVIR KAUR,F,GEN,47,INC,19139,3
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,SATVINDER SINGH RANA,M,GEN,58,BSP,9817,4
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,SHAKTI RANI SHARMA,F,GEN,61,HJCPV,7661,5
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,SUDESH SHARMA,M,GEN,45,IND,2435,6
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,AJAIB SINGH,M,GEN,40,IND,1301,7
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,None of the Above,NULL,NULL,NULL,NOTA,888,8
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,VIJAY BANSAL,M,GEN,49,IND,807,9
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,SUNIL KUMAR,M,GEN,42,IND,265,10
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,SWARN SINGH GURJAR,M,GEN,72,HaLP,242,11
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,AMIT SHARMA,M,GEN,48,RasLP,194,12
S07,Haryana,10,2014,Panchkula,1,Kalka,GEN,CHANDER KANTA,F,SC,54,SMBHP,147,13
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,GIAN CHAND GUPTA,M,GEN,66,BJP,69916,1
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,KUL BHUSHAN GOYAL,M,GEN,53,INLD,25314,2
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,DEVENDER  KUMAR  BANSAL,M,GEN,48,INC,15564,3
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,VINOD BAGAI,M,GEN,46,IND,7545,4
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,RAVINDER  RAWAL,M,GEN,50,HJCBL,3778,5
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,VISHAW DEEPAK SHARMA,M,GEN,58,BSP,1363,6
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,None of the Above,NULL,NULL,NULL,NOTA,1073,7
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,HARENDER  SINGH,M,GEN,48,IND,834,8
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,R. S. SATHI,M,SC,62,CPM,592,9
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,RAKESH    GILL,M,GEN,45,IND,577,10
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,MAMCHAND   BASIA,M,SC,63,CPI,567,11
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,HEM SINGH,M,GEN,54,IND,400,12
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,JAGDEEP SHARMA,M,GEN,30,IND,355,13
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,SONIA GAUR,F,GEN,39,IND,336,14
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,VIJAY SINGH,M,SC,34,IND,218,15
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,RAM SARUP,M,SC,59,IND,207,16
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,ASHOK GUPTA,M,GEN,56,IND,74,17
S07,Haryana,10,2014,Panchkula,2,Panchkula,GEN,SHAKTI  SINGH,M,GEN,32,HaLP,65,18
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,NAYAB SINGH,M,GEN,44,BJP,55931,1
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,RAM KISHAN,M,GEN,51,INC,31570,2
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,RAM SINGH KORWA,M,GEN,62,BSP,30736,3
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,JAGMAL SINGH ROLLON,M,GEN,56,INLD,16836,4
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,BHOOM SINGH,M,GEN,47,HJCBL,3101,5
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,RANDHIR SINGH,M,GEN,62,BSCP,916,6
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,COMRADE TEK CHAND,M,GEN,62,CPM,701,7
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,None of the Above,NULL,NULL,NULL,NOTA,539,8
S07,Haryana,10,2014,Ambala,3,Naraingarh,GEN,SURESH KUMAR PUNIA,M,GEN,41,SMBHP,226,9
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,ANIL VIJ,M,GEN,61,BJP,66605,1
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,CH. NIRMAL SINGH,M,GEN,61,INC,51143,2
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,SURAJ PARKASH JINDAL,M,GEN,51,INLD,5407,3
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,None of the Above,NULL,NULL,NULL,NOTA,1007,4
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,CHARAN SINGH,M,SC,68,BSP,885,5
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,JAGTAR SINGH,M,GEN,64,IND,614,6
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,VINOD,M,GEN,42,IND,448,7
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,SATISH KAPOOR,M,GEN,60,HJCPV,186,8
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,SEWA SINGH,M,GEN,63,IND,182,9
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,TILAK RAJ TANEJA,M,GEN,64,NAJC,178,10
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,BIMAL PARKASH,M,GEN,63,IND,120,11
S07,Haryana,10,2014,Ambala,4,Ambala Cantt.,GEN,CHARANJEET SINGH,M,SC,32,IND,68,12
