ST_CODE,ST_NAME,PC_NO,PC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CATEGORY,PARTY,VOTES
S01,Andhra Pradesh,1,Araku,KISHORE CHANDRA DEO,M,67,ST,INC,52884
S01,Andhra Pradesh,1,Araku,GUMMIDI SANDHYARANI,F,41,ST,TDP,321793
S01,Andhra Pradesh,1,Araku,MIDIYAM BABURAO,M,63,ST,CPM,38898
S01,Andhra Pradesh,1,Araku,KOTHAPALLI GEETHA,F,43,ST,YSRCP,413191
S01,Andhra Pradesh,1,Araku,BURJABARIKI DHANARAJU,M,32,ST,AAAP,8569
S01,Andhra Pradesh,1,Araku,IILLA RAMI REDDY,M,60,ST,IND,5692
S01,Andhra Pradesh,1,Araku,KANGALA BALUDORA,M,58,ST,IND,23215
S01,Andhra Pradesh,1,Araku,CHETTI SANKARARAO,M,32,ST,IND,8951
S01,Andhra Pradesh,1,Araku,BIDDIKA RAMAIAH,M,52,ST,IND,7587
S01,Andhra Pradesh,1,Araku,VANUGU SANKARARAO,M,39,ST,IND,4614
S01,Andhra Pradesh,1,Araku,SALLANGI RATNAM,F,35,ST,IND,7688
S01,Andhra Pradesh,2,Srikakulam,KILLI KRUPARANI,F,52,GEN,INC,24171
S01,Andhra Pradesh,2,Srikakulam,BODDEPALLI RAJARAO,M,47,GEN,BSP,8049
S01,Andhra Pradesh,2,Srikakulam,RAMMOHAN NAIDU KINJARAPU,M,27,GEN,TDP,556545
S01,Andhra Pradesh,2,Srikakulam,KADIYAM JAYALAKSHMI,F,32,GEN,PPOI,5026
S01,Andhra Pradesh,2,Srikakulam,JAIDEV INJARAPU,M,41,GEN,AAAP,2559
S01,Andhra Pradesh,2,Srikakulam,PAIDI RAJA RAO,M,40,GEN,JaSPa,11423
S01,Andhra Pradesh,2,Srikakulam,REDDY SHANTHI,F,45,GEN,YSRCP,428853
S01,Andhra Pradesh,2,Srikakulam,VASUDEVA RAO BODDU,M,41,GEN,CPI(ML)(L),5132
S01,Andhra Pradesh,2,Srikakulam,KINJARAPU TEJESWARA RAO,M,31,GEN,IND,2075
S01,Andhra Pradesh,2,Srikakulam,TOTA TEJESWARA RAO,M,36,GEN,IND,2144
S01,Andhra Pradesh,3,Vizianagaram,ASHOK GAJAPATHI RAJU PUSAPATI,M,62,GEN,TDP,536549
S01,Andhra Pradesh,3,Vizianagaram,JHANSI LAKSHMI BOTCHA,F,50,GEN,INC,122487
S01,Andhra Pradesh,3,Vizianagaram,BONU KRISHNA,M,50,SC,BSP,4092
S01,Andhra Pradesh,3,Vizianagaram,TADIVAKA RAMESH NAIDU,M,44,GEN,JaSPa,3388
S01,Andhra Pradesh,3,Vizianagaram,NARU SIMHADRI NAIDU,M,58,GEN,AAAP,2505
S01,Andhra Pradesh,3,Vizianagaram,PRASADA RAO NANDA,M,42,GEN,PPOI,6401
S01,Andhra Pradesh,3,Vizianagaram,VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU,M,33,GEN,YSRCP,429638
S01,Andhra Pradesh,3,Vizianagaram,YELLA RAO SIYYADULA,M,33,SC,IND,5125
S01,Andhra Pradesh,3,Vizianagaram,HARIKISHAN KUPPILI,M,37,GEN,IND,3603
S01,Andhra Pradesh,4,Visakhapatnam,IMANDI VENKATA KURMARAO,M,43,GEN,BSP,14947
S01,Andhra Pradesh,4,Visakhapatnam,KAMBHAMPATI HARI BABU,M,60,GEN,BJP,566832
S01,Andhra Pradesh,4,Visakhapatnam,BOLISETTI SATYANARAYANA (SATYA),M,57,GEN,INC,50632
S01,Andhra Pradesh,4,Visakhapatnam,KUNA RAMAM,M,51,GEN,AAAP,6175
S01,Andhra Pradesh,4,Visakhapatnam,DADI JYOTHI BHAVANI,F,43,GEN,PPOI,2717
S01,Andhra Pradesh,4,Visakhapatnam,DR|| BHAVANI SANKAR SASTRY.A,M,49,GEN,ICSP,1910
S01,Andhra Pradesh,4,Visakhapatnam,JT RAMARAO,M,42,GEN,sps,4323
S01,Andhra Pradesh,4,Visakhapatnam,Y.S VIJAYAMMA,F,58,GEN,YSRCP,476344
S01,Andhra Pradesh,4,Visakhapatnam,SABBAM HARI,M,60,GEN,JaSPa,6644
S01,Andhra Pradesh,4,Visakhapatnam,UMAMAHESWARARAO ARETI,M,33,SC,IND,1751
S01,Andhra Pradesh,4,Visakhapatnam,KUTIKUPPALA SURYA RAO,M,60,GEN,IND,1889
S01,Andhra Pradesh,4,Visakhapatnam,KURADA SATYANARAYANA PATNAIK,M,50,GEN,IND,1927
S01,Andhra Pradesh,4,Visakhapatnam,GEDELA KRISHNARAO,M,60,ST,IND,1118
S01,Andhra Pradesh,4,Visakhapatnam,CHANDRASEKHAR BUDDA,M,35,GEN,IND,1348
S01,Andhra Pradesh,4,Visakhapatnam,CHALAPATHIRAO RONANKI,M,60,GEN,IND,1594
S01,Andhra Pradesh,4,Visakhapatnam,TANUKU DIVAKAR,M,46,GEN,IND,5418
S01,Andhra Pradesh,4,Visakhapatnam,DURGAPRASAD GUNTU,M,45,GEN,IND,2611
S01,Andhra Pradesh,4,Visakhapatnam,NAGENDRA SAIRAM,M,27,GEN,IND,2377
S01,Andhra Pradesh,4,Visakhapatnam,J.PADMAJA,F,34,GEN,IND,1540
S01,Andhra Pradesh,4,Visakhapatnam,BRAHMA SWAROOP KASIBHATTA,M,46,GEN,IND,994
S01,Andhra Pradesh,4,Visakhapatnam,SREENADH REDDY,M,39,GEN,IND,1379
