ST_CODE,ST_NAME,PC_NO,PC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,VOTES
S01,Andhra Pradesh,1,Aruku,Shruti Devi Vyricherla,F,46,ST,INC,17730
S01,Andhra Pradesh,1,Aruku,Kishore Chandra Deo,M,72,ST,TDP,338101
S01,Andhra Pradesh,1,Aruku,Goddeti.Madhavi,F,26,ST,YSRCP,562190
S01,Andhra Pradesh,1,Aruku,Swamula.Subrahmanyam,M,50,ST,JAJGP,4710
S01,Andhra Pradesh,1,Aruku,Dr.Kosuri Kasi Viswanadha Veera Venkata Satyanarayana Reddy,M,54,ST,BJP,17867
S01,Andhra Pradesh,1,Aruku,Gangulaiah Vampuru.,M,49,ST,JnP,42794
S01,Andhra Pradesh,1,Aruku,Biddika Ramayya.,M,57,ST,IND,7867
S01,Andhra Pradesh,1,Aruku,Kangala Baludora,M,61,ST,IND,13826
S01,Andhra Pradesh,1,Aruku,Anumula Vamsikrishna,M,41,ST,IND,10240
S01,Andhra Pradesh,1,Aruku,Narava Satyavathi,F,37,ST,IND,11236
S01,Andhra Pradesh,2,Srikakulam,Naidugari Rajasekhar,M,35,GEN,IND,5156
S01,Andhra Pradesh,2,Srikakulam,Kinjarapu Ram Mohan Naidu,M,32,GEN,TDP,534544
S01,Andhra Pradesh,2,Srikakulam,Metta Ramarao,M,53,GEN,JnP,31956
S01,Andhra Pradesh,2,Srikakulam,Dola Jagan,M,53,GEN,INC,13745
S01,Andhra Pradesh,2,Srikakulam,Betha Vivekananda Maharaj,M,33,GEN,IND,3818
S01,Andhra Pradesh,2,Srikakulam,Duvvada Srinivas,M,52,GEN,YSRCP,527891
S01,Andhra Pradesh,2,Srikakulam,Perla Samba Murthy,M,58,GEN,BJP,8390
S01,Andhra Pradesh,2,Srikakulam,Matta Satish Chakravarthy,M,37,GEN,PPOI,1448
S01,Andhra Pradesh,2,Srikakulam,Namballa Krishna Mohan,M,44,GEN,IND,4836
S01,Andhra Pradesh,3,Vizianagaram,Ashok Gajapathi Raju Pusapati,M,67,GEN,TDP,530382
S01,Andhra Pradesh,3,Vizianagaram,Adiraju Yedla,M,52,GEN,INC,15725
S01,Andhra Pradesh,3,Vizianagaram,Sanyasi Raju Pakalapati,M,60,GEN,BJP,7266
S01,Andhra Pradesh,3,Vizianagaram,Bellana Chandra Sekhar,M,57,GEN,YSRCP,578418
S01,Andhra Pradesh,3,Vizianagaram,Mukka Srinivas Rao,M,39,GEN,JnP,34192
S01,Andhra Pradesh,3,Vizianagaram,Yella Rao Siyyadula,M,37,SC,IND,1010
S01,Andhra Pradesh,3,Vizianagaram,Surya Bhavani.K,F,38,GEN,PPOI,830
S01,Andhra Pradesh,3,Vizianagaram,P.V.A.Ananda Sagar,M,55,GEN,SAPRP,4983
S01,Andhra Pradesh,3,Vizianagaram,Lagudu.Govinda Rao,M,39,GEN,JAJGP,791
S01,Andhra Pradesh,3,Vizianagaram,Pentapati Rajesh,M,39,GEN,IND,1462
S01,Andhra Pradesh,3,Vizianagaram,Venkata Trindha Rao Veluri,M,52,GEN,IND,6338
S01,Andhra Pradesh,3,Vizianagaram,Dhanalakoti Ramana,M,29,GEN,IND,1176
S01,Andhra Pradesh,3,Vizianagaram,Chiranjeevi Lingala,M,28,GEN,ACP,1263
S01,Andhra Pradesh,3,Vizianagaram,Ijjurouthu Ramunaidu,M,47,GEN,IND,4553
S01,Andhra Pradesh,,Visakhapatnam,Bharat Mathukumilli,M,29,GEN,TDP,432492
S01,Andhra Pradesh,,Visakhapatnam,V.V.Lakshmi Narayana,M,53,GEN,JnP,288874
S01,Andhra Pradesh,,Visakhapatnam,M V V Satyanarayana,M,52,GEN,YSRCP,436906
S01,Andhra Pradesh,,Visakhapatnam,Daggubati Purandeswari,F,58,GEN,BJP,33892
S01,Andhra Pradesh,,Visakhapatnam,B.Jaya Venu Gopal,M,30,GEN,PPOI,1627
S01,Andhra Pradesh,,Visakhapatnam,George Bangari,M,46,SC,VCK,3028
S01,Andhra Pradesh,,Visakhapatnam,Kothapalli Geetha,F,48,GEN,IND,1158
S01,Andhra Pradesh,,Visakhapatnam,Pedada.Ramanikumari,F,48,GEN,INC,14633
S01,Andhra Pradesh,,Visakhapatnam,Durgaprasad.Guntu,M,51,GEN,IND,2464
S01,Andhra Pradesh,,Visakhapatnam,Anmish Varma,M,26,GEN,IND,1915
S01,Andhra Pradesh,,Visakhapatnam,Gampala Somasundaram,M,76,GEN,IND,1128
S01,Andhra Pradesh,,Visakhapatnam,Pulapaka Raja Sekhar,M,40,GEN,IND,2294
S01,Andhra Pradesh,,Visakhapatnam,Gannu Mallayya,M,70,GEN,IND,1313
S01,Andhra Pradesh,,Visakhapatnam,R.Udaya Gowri,F,44,GEN,IND,1384
S01,Andhra Pradesh,,Anakapalli,Vadlamuri Krishna Swaroop,M,46,SC,DABAP,4444
S01,Andhra Pradesh,,Anakapalli,K B Swaroop,M,51,GEN,JAJGP,1621
