ST_NAME,PC_NAME,PC_NO,CANDIDATE,PARTY,VOTES
Andhra Pradesh,Amalapuram (SC),7,G M HARISH (BALAYOGI),TDP,796981
Andhra Pradesh,Amalapuram (SC),7,RAPAKA VARAPRASADA RAO,YSRCP,454785
Andhra Pradesh,Amalapuram (SC),7,GOUTHAM JANGA,INC,15082
Andhra Pradesh,Amalapuram (SC),7,DORABABU YALLA,BSP,5388
Andhra Pradesh,Amalapuram (SC),7,KATRU NAGA BABU,OTH,3741
Andhra Pradesh,Amalapuram (SC),7,VADDI LALITH KUMAR,IND,2977
Andhra Pradesh,Amalapuram (SC),7,MAKEY DAVY PRASAD,IND,2111
Andhra Pradesh,Amalapuram (SC),7,GUDE VENKATESWARULU,IND,1745
Andhra Pradesh,Amalapuram (SC),7,RAMESH JILLELLA,OTH,872
Andhra Pradesh,Amalapuram (SC),7,YALANGI RAMESH,OTH,740
Andhra Pradesh,Amalapuram (SC),7,MATHA KRISHNA,OTH,719
Andhra Pradesh,Amalapuram (SC),7,GIDDI JNANA PRAKASA RAO,OTH,726
Andhra Pradesh,Amalapuram (SC),7,YADLA RAJESH,OTH,635
Andhra Pradesh,Amalapuram (SC),7,KAPA KALYAN,OTH,581
Andhra Pradesh,Amalapuram (SC),7,PATHURI RAMESH,OTH,505
Andhra Pradesh,Amalapuram (SC),7,NOTA,NOTA,13518
Andhra Pradesh,Anakapalle,5,C.M.RAMESH,BJP,762069
Andhra Pradesh,Anakapalle,5,BUDI MUTYALA NAIDU,YSRCP,465539
Andhra Pradesh,Anakapalle,5,VEGI VENKATESH,INC,25651
Andhra Pradesh,Anakapalle,5,PALAKA SREERAMA MURTHY,BSP,19157
Andhra Pradesh,Anakapalle,5,VANKAYALA RAMACHANDRA RAO,IND,4002
Andhra Pradesh,Anakapalle,5,LOVARAJU SIDDHA,IND,3852
Andhra Pradesh,Anakapalle,5,KRISHNA SWAROOP VADLAMURI,OTH,3557
Andhra Pradesh,Anakapalle,5,GARA SURYA RAO,IND,3124
Andhra Pradesh,Anakapalle,5,APPALA RAJU NAMMI,OTH,2619
Andhra Pradesh,Anakapalle,5,NAGESWARA RAO PETLA,IND,2184
Andhra Pradesh,Anakapalle,5,ADARI SARAT CHANDRA,OTH,1913
Andhra Pradesh,Anakapalle,5,VIJAYA LAKSHMI KARRI,OTH,1591
Andhra Pradesh,Anakapalle,5,DR. THUMMAPALA HARI  SHANKAR,IND,1576
Andhra Pradesh,Anakapalle,5,JUNNURI J SRINIVAS,IND,1201
Andhra Pradesh,Anakapalle,5,APPALANAIDU TUMMAGUNTA,IND,1062
Andhra Pradesh,Anakapalle,5,NOTA,NOTA,26235
Andhra Pradesh,Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,TDP,768245
Andhra Pradesh,Ananthapur,19,MALAGUNDLA SANKAR NARAYANA,YSRCP,579690
Andhra Pradesh,Ananthapur,19,MALLIKARJUNA VAJJALA,INC,43217
Andhra Pradesh,Ananthapur,19,G.V.RAMANA REDDY,IND,6439
Andhra Pradesh,Ananthapur,19,BANASI NARAYANAPPA,BSP,6396
Andhra Pradesh,Ananthapur,19,V.MURALI PRASAD REDDY,IND,5778
Andhra Pradesh,Ananthapur,19,DR.NALLANI RAMESH NAIDU,OTH,4989
Andhra Pradesh,Ananthapur,19,M.SURENDRA,OTH,2935
Andhra Pradesh,Ananthapur,19,U.C.VENKATASUBBAIAH,OTH,2540
Andhra Pradesh,Ananthapur,19,P.CHOWDESWARI,IND,1518
Andhra Pradesh,Ananthapur,19,VADLA KESAVAIAH,IND,1494
Andhra Pradesh,Ananthapur,19,B.RAGHAVENDRA PRASAD,IND,1318
Andhra Pradesh,Ananthapur,19,KETHIREDDY RAGHUNATHAREDDY,IND,1091
Andhra Pradesh,Ananthapur,19,LOKANATH GOWD SURAGOWINI,IND,1091
Andhra Pradesh,Ananthapur,19,SREERANGARAJULA GOPINATH ROYAL,IND,904
Andhra Pradesh,Ananthapur,19,SHAIK.NIZAM,SP,753
Andhra Pradesh,Ananthapur,19,RAMAVTH CHINNA RAMAPPA NAIK,OTH,745
Andhra Pradesh,Ananthapur,19,KURUBA MALLIKARJUNA.S.,OTH,578
Andhra Pradesh,Ananthapur,19,B.NAGAMUTHYALU,OTH,570
Andhra Pradesh,Ananthapur,19,SRINIVASA RAJU.O,OTH,494
Andhra Pradesh,Ananthapur,19,DURGA PRASAD D BYATARAYANAJI,OTH,444
Andhra Pradesh,Ananthapur,19,NOTA,NOTA,9199
Andhra Pradesh,Araku (ST),1,GUMMA THANUJA RANI,YSRCP,477005
Andhra Pradesh,Araku (ST),1,KOTHAPALLI GEETHA,BJP,426425
Andhra Pradesh,Araku (ST),1,APPALANARASA PACHIPENTA,CPM,123129
Andhra Pradesh,Araku (ST),1,AVASHYA LAHARI . VARAM,BSP,25750
Andhra Pradesh,Araku (ST),1,SAMAREDDY BALAKRISHNA,IND,9535
Andhra Pradesh,Araku (ST),1,NIMMAKA JAYARAJU,IND,9462
Andhra Pradesh,Araku (ST),1,ATHIDHI,IND,8136
Andhra Pradesh,Araku (ST),1,CHANTI BADNAINA,OTH,7252
Andhra Pradesh,Araku (ST),1,MOTTADAM . RAJABABU,OTH,6766
Andhra Pradesh,Araku (ST),1,RANJITH KUMAR PALAKA,IND,6047
Andhra Pradesh,Araku (ST),1,RAMBABU JALLI,OTH,4959
Andhra Pradesh,Araku (ST),1,MANDALA GIRIDHARA RAO,IND,4967
Andhra Pradesh,Araku (ST),1,VUYAKA NIREEKSHAN  (V. CHENCHU),OTH,4542
Andhra Pradesh,Araku (ST),1,NOTA,NOTA,50470
Andhra Pradesh,Bapatla (SC),15,KRISHNA PRASAD TENNETI,TDP,717493
Andhra Pradesh,Bapatla (SC),15,NANDIGAM SURESH BABU,YSRCP,509462
Andhra Pradesh,Bapatla (SC),15,J.D. SEELAM,INC,43259
Andhra Pradesh,Bapatla (SC),15,DOKKA JAGAN MOHANA RAO,BSP,6857
Andhra Pradesh,Bapatla (SC),15,NALAMALA TIRUPATI RAO,OTH,2964
Andhra Pradesh,Bapatla (SC),15,BUSSA. NAGARAJU,IND,1318
Andhra Pradesh,Bapatla (SC),15,GADDE. VIJAYA LAKSHMI,IND,1051
Andhra Pradesh,Bapatla (SC),15,KATTAPOGU. VIJAY KUMAR,OTH,897
Andhra Pradesh,Bapatla (SC),15,KONDRU KIRAN KUMAR,IND,797
Andhra Pradesh,Bapatla (SC),15,KATTA ANAND BABU,IND,729
Andhra Pradesh,Bapatla (SC),15,MERUGUPALA SADASIVA RAO,OTH,673
Andhra Pradesh,Bapatla (SC),15,KATTA HEMANAND,IND,549
Andhra Pradesh,Bapatla (SC),15,PARRE. KOTAIAH,OTH,412
Andhra Pradesh,Bapatla (SC),15,PALADUG VIJENDRA RAO (BAHUJAN),OTH,306
Andhra Pradesh,Bapatla (SC),15,CHINNAM MURALIDHAR,OTH,255
Andhra Pradesh,Bapatla (SC),15,NOTA,NOTA,13723
Andhra Pradesh,Chittoor(SC),25,DAGGUMALLA PRASADA RAO,TDP,778071
Andhra Pradesh,Chittoor(SC),25,REDDEPPA.N .,YSRCP,557592
Andhra Pradesh,Chittoor(SC),25,MOTUKUR JAGAPATHI,INC,30150
Andhra Pradesh,Chittoor(SC),25,THOGURU VIJAYA KUMAR,BSP,13511
Andhra Pradesh,Chittoor(SC),25,YUGANDAR . KONDA,IND,6973
Andhra Pradesh,Chittoor(SC),25,K.MUNI KRISHNA,IND,3956
Andhra Pradesh,Chittoor(SC),25,P.JANAKI RAMA RAO ( BABU),OTH,2833
Andhra Pradesh,Chittoor(SC),25,PETA.MOHAN .,IND,2366
Andhra Pradesh,Chittoor(SC),25,C.SUDHAKAR,IND,1935
Andhra Pradesh,Chittoor(SC),25,N.CHANDRABABU,IND,1885
Andhra Pradesh,Chittoor(SC),25,MADASI SUDHARSHAN,IND,1578
Andhra Pradesh,Chittoor(SC),25,D.MAHESH,IND,1119
Andhra Pradesh,Chittoor(SC),25,P.MADHU,IND,906
Andhra Pradesh,Chittoor(SC),25,N.BHUPATHI,IND,894
Andhra Pradesh,Chittoor(SC),25,A. PURNA CHANDRA,IND,857
Andhra Pradesh,Chittoor(SC),25,PALLIPATTU.ABHINAV VISHNU,SP,676
Andhra Pradesh,Chittoor(SC),25,N.GANGAIAH .,IND,552
Andhra Pradesh,Chittoor(SC),25,T NARESH,IND,534
