"ST_CODE","ST_NAME","REGION","DIST_NAME"
"U05","Delhi","NORTH EAST DELHI","BURARI"
"U05","Delhi","NORTH EAST DELHI","TIMARPUR"
"U05","Delhi","NORTH EAST DELHI","SEEMAPURI"
"U05","Delhi","NORTH EAST DELHI","ROHTAS NAGAR"
"U05","Delhi","NORTH EAST DELHI","SEELAMPUR"
"U05","Delhi","NORTH EAST DELHI","GHONDA"
"U05","Delhi","NORTH EAST DELHI","BABARPUR"
"U05","Delhi","NORTH EAST DELHI","GOKALPUR"
"U05","Delhi","NORTH EAST DELHI","MUSTAFABAD"
"U05","Delhi","NORTH EAST DELHI","KARAWAL NAGAR"
"U05","Delhi","EAST DELHI","JANGPURA"
"U05","Delhi","EAST DELHI","OKHLA"
"U05","Delhi","EAST DELHI","TRILOKPURI"
"U05","Delhi","EAST DELHI","KONDLI"
"U05","Delhi","EAST DELHI","PATPARGANJ"
"U05","Delhi","EAST DELHI","LAXMI NAGAR"
"U05","Delhi","EAST DELHI","VISHWAS NAGAR"
"U05","Delhi","EAST DELHI","KRISHNA NAGAR"
"U05","Delhi","EAST DELHI","GANDHI NAGAR"
"U05","Delhi","EAST DELHI","SHAHDARA"
"U05","Delhi","NEW DELHI","KAROL BAGH"
"U05","Delhi","NEW DELHI","PATEL NAGAR"
"U05","Delhi","NEW DELHI","MOTI NAGAR"
"U05","Delhi","NEW DELHI","DELHI CANTT"
"U05","Delhi","NEW DELHI","RAJINDER NAGAR"
"U05","Delhi","NEW DELHI","NEW DELHI"
"U05","Delhi","NEW DELHI","KASTURBA NAGAR"
"U05","Delhi","NEW DELHI","MALVIYA NAGAR"
"U05","Delhi","NEW DELHI","R K PURAM"
"U05","Delhi","NEW DELHI","GREATER KAILASH"
"U05","Delhi","NORTH WEST DELHI","NERELA"
"U05","Delhi","NORTH WEST DELHI","BADII"
"U05","Delhi","NORTH WEST DELHI","RITHALA"
"U05","Delhi","NORTH WEST DELHI","BAWANA"
"U05","Delhi","NORTH WEST DELHI","MUNDKA"
"U05","Delhi","NORTH WEST DELHI","KIRARI"
"U05","Delhi","NORTH WEST DELHI","SULTAN"
